time_h,irradiance_W_m2,pv_power_W,mppt_bus_W,load_A_W,load_BC_W,wpt_input_W,wpt_output_W,battery_soc_percent,battery_energy_Wh
8,100,10.20,9.69,5,0,7.14,5.00,50.8,60.9
9,300,30.60,29.07,5,0,7.14,5.00,68.5,82.2
10,550,56.10,53.30,5,0,7.14,5.00,100.0,120.0
11,750,76.50,72.67,5,10,21.43,15.00,100.0,120.0
12,850,86.70,82.37,5,10,21.43,15.00,100.0,120.0
13,800,81.60,77.52,5,10,21.43,15.00,100.0,120.0
14,650,66.30,62.98,5,10,21.43,15.00,100.0,120.0
15,450,45.90,43.61,5,10,21.43,15.00,100.0,120.0
16,250,25.50,24.22,5,0,7.14,5.00,100.0,120.0
17,80,8.16,7.75,5,0,7.14,5.00,100.0,120.0
18,0,0.00,0.00,5,0,7.14,5.00,94.0,112.9
